index,gpsTimeValid,date,time,millis,lat,lng,speed_mph,gsr,scr,slope_cps,recovery_s,it_date,it_time,emo_level
308,1,0,22413900,114286,0,0,0,558,-10.41,0.28,66.07,0,23413900,0.809
309,1,0,22414000,114659,0,0,0,558,-10.31,0.28,66.44,0,23414000,0.782
310,1,0,22414000,115032,0,0,0,558,-10.21,0.28,66.81,0,23414000,0.760
311,1,0,22414000,115407,0,0,0,558,-10.10,0.27,67.19,0,23414000,0.740
312,1,0,22414100,115780,0,0,0,558,-10.00,0.27,67.56,0,23414100,0.724
313,1,0,22414100,116155,0,0,0,558,-9.90,0.27,67.94,0,23414100,0.709
314,1,0,22414100,116526,0,0,0,557,-10.79,-2.40,68.31,0,23414100,0.753
315,1,0,22414200,116900,0,0,0,558,-9.70,2.94,68.68,0,23414200,0.790
316,1,0,22414200,117271,0,0,0,608,39.90,133.68,-1.00,0,23414200,0.821
317,1,0,22414300,117644,0,0,0,608,39.50,-1.07,-1.00,0,23414300,0.848
